document_id,title,content_preview,file_size_kb,category,date_indexed,search_keywords
DOC287,Elective List CSE,AI IoT Cloud Data Science options,300,admin,2025-01-13,elective subject choice cse
DOC288,Open Elective List,Management languages arts options,300,admin,2025-01-14,open elective subject choice
DOC289,Attendance Policy,Minimum percentage condonation rules,200,admin,2025-01-15,attendance rules medical fine
DOC290,Medical Certificate,Format doctor sign leave valid,100,admin,2025-01-16,medical leave certificate sick
DOC291,Python Project Idea,Library management system code,500,programming,2025-01-17,project python code library
DOC292,Java Project Idea,Bank management system code,500,programming,2025-01-18,project java code bank
DOC293,Web Project Idea,E-commerce website code html css,600,web,2025-01-19,project web code site
DOC294,Android Project Idea,Chat application firebase code,600,mobile_dev,2025-01-20,project app android chat
DOC295,IoT Project Idea,Home automation arduino code,500,electronics,2025-01-21,project iot arduino home
DOC296,ML Project Idea,Stock price prediction python,700,ai_ml,2025-01-22,project ml python stock
DOC297,Mechanical Project,Solar car design report,800,mechanical,2025-01-23,project mech solar car
DOC298,Civil Project Idea,Green building design report,800,civil,2025-01-24,project civil building green
DOC299,Electronics Project,Line follower robot circuit,600,electronics,2025-01-25,project robot circuit line
DOC300,Final Year Thesis,Format guidelines templates doc,400,research,2025-01-26,thesis project report format
DOC301,IEEE Paper Template,Double column format word latex,300,research,2025-01-27,ieee paper format template
DOC302,Presentation Tips,Slide design body language voice,400,general,2025-01-28,presentation speech tips ppt
DOC303,Report Writing,Abstract conclusion methodology,450,general,2025-01-29,report writing format guide
DOC304,Citation Styles,APA MLA IEEE Harvard guide,350,research,2025-01-30,citation reference format style
DOC305,Plagiarism Policy,Turnitin check percentage rules,200,research,2025-01-31,plagiarism copy check rules
DOC306,Campus Map PDF,Buildings roads gates parking,1500,transport,2025-02-01,map location building road
DOC307,Emergency Contacts,Ambulance fire police warden,100,admin,2025-02-02,emergency contact phone help
DOC308,Academic Regulations,Credits grading sgpa cgpa rules,600,admin,2025-02-03,rules grade marks credit
DOC309,Exam Malpractice,Rules punishment squad copy,200,admin,2025-02-04,exam cheat rules punishment
DOC310,Student Feedback,Faculty course infrastructure form,150,admin,2025-02-05,feedback form survey class
DOC311,Introduction to C,Variables loops functions pointers,800,programming,2025-02-06,c coding programming loop
DOC312,C++ Programming,OOP classes inheritance stl,900,programming,2025-02-07,cpp oop coding class
DOC313,Data Structures C,Linked list stack queue tree c,950,data_structures,2025-02-08,ds c code stack
DOC314,Algorithms Analysis,Time complexity big o notation,1000,algorithms,2025-02-09,algorithm time complexity math
DOC315,Operating System Notes,Process thread scheduling deadlock,1100,systems,2025-02-10,os notes process thread
DOC316,DBMS Notes SQL,Normalization er diagram sql,1050,databases,2025-02-11,dbms notes sql data
DOC317,Computer Networks Notes,Osi model tcp ip layers,1150,networking,2025-02-12,network notes osi tcp
DOC318,Software Engg Notes,Waterfall agile testing sdlc,1000,software_eng,2025-02-13,se notes agile testing
DOC319,Web Tech Notes,Html css js php xml servlets,1100,web,2025-02-14,web notes html php
DOC320,Java Notes Core,Jvm jdk classes exception multithreading,1200,programming,2025-02-15,java notes core code
DOC321,Python Notes Basics,Syntax list dict file handling,900,programming,2025-02-16,python notes code basic
DOC322,Machine Learning Notes,Regression classification clustering,1300,ai_ml,2025-02-17,ml notes python data
DOC323,Digital Logic Notes,K-map multiplexer flip flop,850,electronics,2025-02-18,digital notes logic circuit
DOC324,COA Notes CPU,Addressing modes pipeline memory,950,systems,2025-02-19,coa notes cpu memory
DOC325,Math 1 Notes,Calculus matrix differential eq,900,mathematics,2025-02-20,math notes calculus matrix
DOC326,Math 2 Notes,Vector complex transform,900,mathematics,2025-02-21,math notes vector complex
DOC327,Physics Notes,Quantum laser fiber optics,850,physics,2025-02-22,physics notes light laser
DOC328,Chemistry Notes,Water polymer fuel battery,850,chemistry,2025-02-23,chemistry notes water fuel
DOC329,English Notes,Grammar letter report writing,700,general,2025-02-24,english notes writing grammar
DOC330,Constitution Notes,Articles rights duties law,750,general,2025-02-25,constitution notes law india
DOC331,Placement Aptitude 1,Number system hcf lcm average,600,placement,2025-02-26,aptitude math number average
DOC332,Placement Aptitude 2,Percentage profit loss ratio,600,placement,2025-02-27,aptitude math profit ratio
DOC333,Placement Aptitude 3,Time work speed distance train,600,placement,2025-02-28,aptitude math speed time
DOC334,Placement Aptitude 4,Permutation combination probability,600,placement,2025-03-01,aptitude math probability logic
DOC335,Logical Reasoning 1,Series coding decoding blood relation,600,placement,2025-03-02,reasoning logic code blood
DOC336,Logical Reasoning 2,Direction seating arrangement puzzle,600,placement,2025-03-03,reasoning logic puzzle seat
DOC337,Verbal Ability 1,Reading comprehension vocabulary,600,placement,2025-03-04,verbal english reading word
DOC338,Verbal Ability 2,Grammar error correction fillers,600,placement,2025-03-05,verbal english grammar error
DOC339,HR Interview QA,Tell me about yourself strength,500,placement,2025-03-06,hr interview question answer
DOC340,Technical Interview QA,C Java DBMS OS questions,800,placement,2025-03-07,tech interview coding question
DOC341,Resume Template 1,Simple fresher format word,200,placement,2025-03-08,resume format template word
DOC342,Resume Template 2,Modern design format canva,200,placement,2025-03-09,resume design cv template
DOC343,Cover Letter Guide,Format content sample letter,300,placement,2025-03-10,letter cover job writing
DOC344,LinkedIn Profile Tips,Headline summary skills photo,400,placement,2025-03-11,linkedin job profile tips
DOC345,Email Etiquette,Subject body signature tone,300,placement,2025-03-12,email writing professional job
DOC346,GD Topics Current,AI ethics crypto climate change,400,placement,2025-03-13,gd group discussion topic
DOC347,GD Do's and Don'ts,Body language speaking listening,300,placement,2025-03-14,gd tips rules speak
DOC348,Company List TCS,Recruitment process eligibility pattern,500,placement,2025-03-15,tcs job placement company
DOC349,Company List Infosys,Recruitment process eligibility pattern,500,placement,2025-03-16,infosys job placement company
DOC350,Company List Wipro,Recruitment process eligibility pattern,500,placement,2025-03-17,wipro job placement company
DOC351,Company List Accenture,Recruitment process eligibility pattern,500,placement,2025-03-18,accenture job placement company
DOC352,Startup List Bangalore,Internship job openings contact,600,placement,2025-03-19,startup job bangalore intern
DOC353,Gate Syllabus CSE,Subjects marks weightage topic,400,competitve_exam,2025-03-20,gate cse syllabus exam
DOC354,Gate Syllabus ECE,Subjects marks weightage topic,400,competitve_exam,2025-03-21,gate ece syllabus exam
DOC355,GRE Prep Guide,Verbal quant analytical writing,1000,competitve_exam,2025-03-22,gre exam usa master
DOC356,TOEFL Prep Guide,Reading listening speaking writing,800,competitve_exam,2025-03-23,toefl english exam usa
DOC357,IELTS Prep Guide,Reading listening speaking writing,800,competitve_exam,2025-03-24,ielts english exam uk
DOC358,CAT Exam Syllabus,Quant varc dilr pattern,600,competitve_exam,2025-03-25,cat mba exam syllabus
DOC359,UPSC Exam Pattern,Prelims mains interview subjects,700,competitve_exam,2025-03-26,upsc ias exam syllabus
DOC360,Banking Exam Guide,IBPS SBI PO clerk pattern,600,competitve_exam,2025-03-27,bank exam ibps sbi
DOC361,Remote Internship,Sites tips application wfh,400,placement,2025-03-28,internship remote work home
DOC362,Freelancing Guide,Upwork fiverr profile gig,500,placement,2025-03-29,freelance money work job
DOC363,Open Source Guide,Git contribution gsoc hacktoberfest,600,programming,2025-03-30,open source git code
DOC364,Competitive Coding,Codechef leetcode codeforces tips,700,programming,2025-03-31,coding competitive algo rank
DOC365,Study Abroad Guide,Application visa university list,800,general,2025-04-01,abroad master usa uk
DOC366,SOP Writing Guide,Statement of purpose format sample,400,general,2025-04-02,sop writing admission master
DOC367,LOR Writing Guide,Letter of recommendation format,300,general,2025-04-03,lor letter recommendation prof
DOC368,Visa Interview Tips,F1 visa questions documents,400,general,2025-04-04,visa usa interview tips
DOC369,Hostel Packing List,Clothes essentials medicines documents,200,student_life,2025-04-05,hostel packing list item
DOC370,Budgeting for Students,Expense tracking saving money apps,300,student_life,2025-04-06,money budget save student
DOC371,Cooking in Hostel,Simple recipes kettle induction,400,student_life,2025-04-07,cooking food hostel recipe
DOC372,Laundry Tips,Washing clothes iron stain removal,200,student_life,2025-04-08,laundry clothes wash clean
DOC373,Roommate Agreement,Cleaning quiet hours guests rules,150,student_life,2025-04-09,roommate rules hostel living
DOC374,Local City Guide,Places to visit food shopping,500,student_life,2025-04-10,city guide travel food
DOC375,Movie Club List,Screening schedule membership,200,student_life,2025-04-11,movie club film watch
DOC376,Book Club List,Reading month discussion meet,200,student_life,2025-04-12,book club read meet
DOC377,Trekking Club,Upcoming treks gear registration,300,student_life,2025-04-13,trekking adventure club trip
DOC378,Gaming Club,Tournament lan party discord,300,student_life,2025-04-14,gaming esports game lan
DOC379,Music Band Audition,Vocalist guitarist drummer required,100,student_life,2025-04-15,music band audition join
DOC380,Dance Team Audition,Hip hop classical contemporary,100,student_life,2025-04-16,dance team audition join
DOC381,Drama Club Audition,Actors scriptwriters needed,100,student_life,2025-04-17,drama acting club join
DOC382,Volunteer Request,NGO teaching weekend drive,150,student_life,2025-04-18,volunteer social work help
DOC383,Lost Watch Found,Black casio watch library,50,admin,2025-04-19,lost found watch library
DOC384,Lost Wallet Found,Brown leather wallet canteen,50,admin,2025-04-20,lost found wallet canteen
DOC385,Found Umbrella,Blue umbrella classroom 101,50,admin,2025-04-21,found umbrella lost rain
DOC386,Found ID Card,Name John Doe civil dept,50,admin,2025-04-22,found id card lost
DOC387,Sale Old Books,Sem 1 2 books half price,100,student_life,2025-04-23,sale books old buy
DOC388,Sale Drafter,Engineering drafter condition good,100,student_life,2025-04-24,sale drafter drawing tool
DOC389,Sale Cycle,Hero cycle blue 1 year old,100,student_life,2025-04-25,sale cycle bike buy
DOC390,Sale Mattress,Hostel mattress clean cheap,100,student_life,2025-04-26,sale mattress bed hostel
DOC391,Tutoring Offered,Math physics programming help,100,student_life,2025-04-27,tutor help teach class
DOC392,Ride Share Request,Weekend home travel share cab,100,student_life,2025-04-28,ride share car travel
DOC393,Project Partner Need,Final year iot project partner,100,student_life,2025-04-29,project partner need help
DOC394,Survey Request,Fill google form project data,100,student_life,2025-04-30,survey form help data
DOC395,Blood Donor Need,B positive hospital city,50,student_life,2025-05-01,blood need emergency help
DOC396,Introduction to SQL,Select insert update delete,800,databases,2025-05-02,sql database query code
DOC397,Advanced Java,Servlets jsp jdbc hibernate,1200,programming,2025-05-03,java advanced web code
DOC398,Spring Boot Guide,Rest api microservices dependency,1400,programming,2025-05-04,spring boot java web
DOC399,React JS Basics,Components props state hooks,1100,web,2025-05-05,react js frontend web
DOC400,Node JS Basics,Event loop express api backend,1100,web,2025-05-06,node js backend web
